"","dd_KSCOAR_dam.df","dd_KSCOAR_dam.logLik","dd_KSCOAR_dam.AICc","dd_KSCOAR_dam.delta","dd_KSCOAR_dam.weight"
"400",4,338.384136382435,-668.596598945128,478.69747158993,7.02812912553958e-106
"401",9,343.558099469795,-668.326725255379,478.967345279679,6.14097606824928e-106
"402",6,340.128893736482,-667.894151109328,479.39991942573,4.94658097233816e-106
"403",5,338.614074691566,-666.969528693476,480.324541841581,3.11548680383511e-106
"404",5,338.529933628937,-666.801246568219,480.492823966839,2.86407190338931e-106
"405",4,337.480883843266,-666.790093866789,480.503976668269,2.84814528146858e-106
"406",5,338.486059779271,-666.713498868887,480.58057166617,2.74113071518135e-106
"407",5,338.397958995247,-666.537297300839,480.756773234219,2.50996728959593e-106
"408",5,338.315175113928,-666.3717295382,480.922340996857,2.31055057365038e-106
"409",5,338.066054450659,-665.873488211663,481.420582323395,1.80104162202914e-106
"410",7,340.178806774755,-665.870657027772,481.423413507286,1.79849388571856e-106
"411",7,340.169913428981,-665.852870336223,481.441200198834,1.78257017022646e-106
"412",5,337.961066348785,-665.663512007915,481.630558527143,1.62154123169881e-106
"413",6,338.896545678363,-665.429454993089,481.864615541968,1.44245794849269e-106
"414",5,337.812704049749,-665.366787409842,481.927283125215,1.39796104068099e-106
"415",5,337.739584887564,-665.220549085472,482.073521449586,1.29939089627633e-106
"416",6,338.791462231179,-665.219288098721,482.074782436337,1.29857189713791e-106
"417",6,338.642769678135,-664.921902992634,482.372167542424,1.1191534674893e-106
"418",6,338.636650620506,-664.909664877377,482.384405657681,1.11232621241282e-106
"419",6,338.602328439695,-664.841020515753,482.453050019304,1.07479648618724e-106
"420",5,337.531637102804,-664.804653515954,482.489417019104,1.05542953746389e-106
"421",6,338.545251030042,-664.726865696447,482.567204838611,1.01516779979938e-106
"422",6,338.526036889013,-664.68843741439,482.605633120667,9.95848419537453e-107
"423",6,338.504664328349,-664.645692293062,482.648378241996,9.74790422020793e-107
"424",6,338.501269088636,-664.638901813635,482.655168721422,9.71486387037111e-107
"425",6,338.41324548227,-664.462854600903,482.831215934154,8.89628224380589e-107
"426",4,336.2211521632,-664.270630506657,483.0234400284,8.08104678651717e-107
"427",6,338.176517260292,-663.989398156948,483.304672378109,7.02099707953696e-107
"428",7,339.195031979316,-663.903107436893,483.390963098165,6.724515525307e-107
