FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
175,Point,KMCP,SFNinnescah,-98.111802,37.641212,485476,South Fork Ninnescah River,1.528,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,34.568756
176,Point,SFN1,SFNinnescah,-98.11176,37.6412,485476,South Fork Ninnescah River,1.528,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,33.698683
177,Point,ARK6,LowerArk,-98.46499,38.29079,78956,Arkansas River,16.817,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.9418
178,Point,ARK7,LowerArk,-98.41589,38.26933,78956,Arkansas River,16.817,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,18.765178
179,Point,GOOSECREEKHWY11,NFNinnescah,-98.1945,37.82398, , ,1.567,460,STREAM/RIVER,46003,Intermittent,9.599643
180,Point,TNFNHWY50,NFNinnescah,-98.33718,37.98412, , ,3.973,460,STREAM/RIVER,46003,Intermittent,0.023873
181,Point,KDOT1,SFNinnescah,-98.24527,37.64638, , ,1.912957,460,STREAM/RIVER,46006,Perennial,2.986554
182,Point,CHIK10,Chikaskia,-98.08385,37.45729,485460,Rose Bud Creek,1.454,460,STREAM/RIVER,46003,Intermittent,9.537082
183,Point,ETELM1,Medicine,-98.53781,37.36725, , ,0.991,460,STREAM/RIVER,46006,Perennial,2.255242
184,Point,LSMC,SFNinnescah,-97.84442,37.58649,473967,Smoots Creek,1.021,460,STREAM/RIVER,46006,Perennial,0.908419
185,Point,SAND3,Chikaskia,-98.28191,37.41125,470404,Sand Creek,0.885,460,STREAM/RIVER,46006,Perennial,21.521708
186,Point,CIMMG2,Cimarron,-99.830949,37.016021,1091369,Cimarron River,3.651,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,19.085439
187,Point,AMBER2,Medicine,-98.61732,37.44715,470379,Amber Creek,1.407,460,STREAM/RIVER,46006,Perennial,8.810008
188,Point,ARK8,LowerArk,-98.36144,38.23219,78956,Arkansas River,1.503,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,10.84251
189,Point,CHIK3,Chikaskia,-98.42821,37.48528, , ,1.676,460,STREAM/RIVER,46006,Perennial,3.01489
190,Point,DOG,Medicine,-98.82162,37.30948,470436,Dog Creek,0.681,460,STREAM/RIVER,46006,Perennial,2.641497
191,Point,QNWR8,Rattlesnake,-98.48615,38.22254,475880,Salt Creek,3.458,460,STREAM/RIVER,46006,Perennial,9.044474
192,Point,BWWA1,SFNinnescah,-98.27871,37.65186, , ,0.71,460,STREAM/RIVER,46006,Perennial,5.522952
